04Oct24 14:19,arrival_price,totrd_qty,totrd_usd,px_trd,qty_trd,value_trd,PnLvsClose,PnLvsArrival,!!check!!,px_lst,PnLvsLast
SOLUSDT,139.599,-1.00,$-140.0,139.647,-1.00,$-140,$-3.5,$0.1,ok,146.222,$-6.6
TRXUSDT,0.157,554.00,$87.0,0.157,675.00,$106,$-0.6,$-0.1,ok,.15662,$-0.4
XRPUSDT,0.521,-151.60,$-79.0,0.521,-151.60,$-79,$-2.0,$-0.1,ok,.5373,$-2.5
NEARUSDT,4.697,-13.00,$-61.0,4.705,-13.00,$-61,$-1.6,$0.1,ok,5.193,$-6.3
BCHUSDT,320.975,0.17,$55.0,321.070,0.17,$55,$0.6,$-0.0,ok,328.76,$1.3
TONUSDT,5.341,7.10,$38.0,5.343,10.50,$56,$0.6,$-0.0,ok,5.2663,$-0.8
DOGEUSDT,0.108,307.00,$33.0,0.108,307.00,$33,$0.4,$-0.1,ok,.11175,$1.2
LINKUSDT,10.997,-2.64,$-29.0,11.013,-2.64,$-29,$-0.2,$0.0,ok,11.312,$-0.8
AVAXUSDT,25.587,-1.00,$-26.0,25.628,-1.00,$-26,$-0.6,$0.0,ok,27.036,$-1.4
BNBUSDT,549.295,0.04,$22.0,549.513,0.07,$38,$0.4,$-0.0,ok,573.38,$1.7
LTCUSDT,64.105,0.33,$21.0,64.130,0.33,$21,$0.2,$-0.0,ok,65.29,$0.4
ETHUSDT,2372.365,-0.01,$-21.0,2373.690,-0.01,$-21,$-0.4,$0.0,ok,2450.31,$-0.7
SUIUSDT,1.760,-11.40,$-20.0,1.752,-11.40,$-20,$-0.2,$-0.1,ok,2.078,$-3.7
ADAUSDT,0.351,58.00,$20.0,0.352,106.00,$37,$-0.0,$-0.0,ok,.3561,$0.5
BTCUSDT,nan,nan,$nan,61388.300,-0.00,$-184,$-2.0,$nan,!!!KO!!!,63188.4,$-5.4
1000SHIBUSDT,nan,nan,$nan,0.017,925.00,$16,$0.1,$nan,!!!KO!!!,.01802,$0.6
DOTUSDT,nan,nan,$nan,4.157,1.70,$7,$0.1,$nan,!!!KO!!!,4.211,$0.1
