,symbol,qty_tm1,value_tm1,w%_tm1,qty_trd,px_trd,value_trd,qty_t,value_t,w%_t,px_tm1,px_t,rt_1d%,PnL_tm1,PnL_trd,PnL
0,TOTAL,,+628.0$,54.5%,,,-22.0$,,+606.8$,52.6%,,,,+1.2$,-0.3$,+0.8$
1,UNI,32.000,+201.4$,17.5%,-,-,+0.0$,32.000,+199.0$,17.3%,6.295,6.217,-1.2%,-2.5$,+0.0$,-2.5$
2,ADA,317.000,+119.8$,10.4%,-58.000,0.379,-22.0$,259.000,+98.7$,8.6%,0.378,0.381,0.8%,+1.0$,-0.1$,+0.9$
3,BTC,0.003,+111.7$,9.7%,-,-,+0.0$,0.003,+112.5$,9.8%,37234.400,37509.612,0.7%,+0.8$,+0.0$,+0.8$
4,SOL,2.000,+110.1$,9.6%,-,-,+0.0$,2.000,+112.1$,9.7%,55.030,56.069,1.9%,+2.1$,+0.0$,+2.1$
5,AVAX,5.000,+101.8$,8.8%,-,-,+0.0$,5.000,+101.8$,8.8%,20.355,20.363,0.0%,+0.0$,+0.0$,+0.0$
6,LINK,5.710,+81.0$,7.0%,-,-,+0.0$,5.710,+82.1$,7.1%,14.181,14.383,1.4%,+1.2$,+0.0$,+1.2$
7,XMR,0.325,+53.8$,4.7%,-0.128,165.430,-21.2$,0.197,+32.8$,2.8%,165.560,166.336,0.5%,+0.3$,-0.1$,+0.1$
8,ATOM,4.710,+43.8$,3.8%,-2.340,9.120,-21.3$,2.370,+21.6$,1.9%,9.301,9.128,-1.9%,-0.8$,-0.0$,-0.8$
9,TRX,218.000,+22.2$,1.9%,-105.000,0.102,-10.7$,113.000,+11.6$,1.0%,0.102,0.103,0.9%,+0.2$,-0.0$,+0.1$
10,ETH,0.003,+6.1$,0.5%,0.033,2032.400,+67.1$,0.036,+73.3$,6.4%,2027.481,2037.090,0.5%,+0.0$,+0.1$,+0.2$
11,FIL,1.100,+5.0$,0.4%,-,-,+0.0$,1.100,+5.0$,0.4%,4.541,4.502,-0.9%,-0.0$,+0.0$,-0.0$
12,HBAR,77.000,+4.7$,0.4%,-,-,+0.0$,77.000,+4.7$,0.4%,0.062,0.061,-1.4%,-0.1$,+0.0$,-0.1$
13,DOT,-1.300,-6.7$,-0.6%,-,-,+0.0$,-1.300,-6.8$,-0.6%,5.156,5.221,1.3%,-0.1$,+0.0$,-0.1$
14,ETC,-0.580,-10.8$,-0.9%,-,-,+0.0$,-0.580,-10.8$,-0.9%,18.553,18.631,0.4%,-0.0$,+0.0$,-0.0$
15,DOGE,-149.000,-11.7$,-1.0%,-92.000,0.078,-7.2$,-241.000,-19.3$,-1.7%,0.079,0.080,1.4%,-0.2$,-0.2$,-0.3$
16,MATIC,-25.000,-18.6$,-1.6%,-9.000,0.742,-6.7$,-34.000,-25.2$,-2.2%,0.743,0.742,-0.0%,+0.0$,+0.0$,+0.0$
17,LTC,-0.293,-20.3$,-1.8%,-,-,+0.0$,-0.293,-20.2$,-1.8%,69.212,69.056,-0.2%,+0.0$,+0.0$,+0.0$
18,XRP,-47.300,-28.6$,-2.5%,-,-,+0.0$,-47.300,-28.8$,-2.5%,0.604,0.609,0.8%,-0.2$,+0.0$,-0.2$
19,XLM,-249.000,-29.0$,-2.5%,-,-,+0.0$,-249.000,-29.2$,-2.5%,0.116,0.117,0.8%,-0.2$,+0.0$,-0.2$
20,BNB,-0.200,-45.5$,-3.9%,-,-,+0.0$,-0.200,-46.0$,-4.0%,227.407,229.920,1.1%,-0.5$,+0.0$,-0.5$
21,BCH,-0.279,-62.2$,-5.4%,-,-,+0.0$,-0.279,-62.0$,-5.4%,223.114,222.340,-0.3%,+0.2$,+0.0$,+0.2$
