,index,qty_tm1,value_tm1,w%_tm1,qty_trd,px_trd,value_trd,qty_t,value_t,w%_t,px_tm1,px_t,rt_1d%,PnL_tm1,PnL_trd,PnL
0,TOTAL,,+278.3$,40.4%,,,+0.0$,,+278.9$,40.4%,,,,+0.6$,+0.0$,+0.6$
1,TRX,2392.000,+168.0$,24.4%,-,-,+0.0$,2392.000,+168.1$,24.4%,0.070,0.070,0.1%,+0.1$,+0.0$,+0.1$
2,XMR,0.367,+55.8$,8.1%,-,-,+0.0$,0.367,+55.7$,8.1%,151.950,151.780,-0.1%,-0.1$,+0.0$,-0.1$
3,ATOM,5.160,+55.7$,8.1%,-,-,+0.0$,5.160,+55.6$,8.1%,10.793,10.769,-0.2%,-0.1$,+0.0$,-0.1$
4,BCH,0.477,+55.3$,8.0%,-,-,+0.0$,0.477,+54.7$,7.9%,115.988,114.650,-1.2%,-0.6$,+0.0$,-0.6$
5,LTC,0.637,+55.3$,8.0%,-,-,+0.0$,0.637,+55.5$,8.0%,86.850,87.130,0.3%,+0.2$,+0.0$,+0.2$
6,ETH,0.023,+41.8$,6.1%,-,-,+0.0$,0.023,+41.5$,6.0%,1815.560,1804.200,-0.6%,-0.3$,+0.0$,-0.3$
7,BNB,0.130,+40.7$,5.9%,-,-,+0.0$,0.130,+40.5$,5.9%,313.302,311.290,-0.6%,-0.3$,+0.0$,-0.3$
8,ICP,2.000,+10.5$,1.5%,-,-,+0.0$,2.000,+10.4$,1.5%,5.234,5.188,-0.9%,-0.1$,+0.0$,-0.1$
9,UNI,-1.000,-5.1$,-0.7%,-,-,+0.0$,-1.000,-5.1$,-0.7%,5.114,5.078,-0.7%,+0.0$,+0.0$,+0.0$
10,ADA,-17.000,-6.2$,-0.9%,-,-,+0.0$,-17.000,-6.2$,-0.9%,0.367,0.363,-0.9%,+0.1$,+0.0$,+0.1$
11,XRP,-14.700,-6.3$,-0.9%,-,-,+0.0$,-14.700,-6.2$,-0.9%,0.427,0.422,-1.1%,+0.1$,+0.0$,+0.1$
12,DOGE,-174.000,-12.5$,-1.8%,-,-,+0.0$,-174.000,-12.4$,-1.8%,0.072,0.071,-0.7%,+0.1$,+0.0$,+0.1$
13,DOT,-7.200,-38.2$,-5.5%,-,-,+0.0$,-7.200,-37.9$,-5.5%,5.311,5.260,-1.0%,+0.4$,+0.0$,+0.4$
14,1000SHIB,-4993.000,-43.9$,-6.4%,-,-,+0.0$,-4993.000,-43.7$,-6.3%,0.009,0.009,-0.5%,+0.2$,+0.0$,+0.2$
15,AVAX,-3.000,-45.2$,-6.6%,-,-,+0.0$,-3.000,-44.7$,-6.5%,15.076,14.885,-1.3%,+0.6$,+0.0$,+0.6$
16,MATIC,-55.000,-47.2$,-6.9%,-,-,+0.0$,-55.000,-46.9$,-6.8%,0.859,0.853,-0.7%,+0.3$,+0.0$,+0.3$
