2024-11-22,qty,quoteQty,avg_price,arrival_price,px_tm1,px_last,totrd_qty,value_trd,!!check!!,PnLvsTm1,PnLvsArrival,PnLvsLast
BTCUSDT,-0.628,-61763.0,98348.772,97469.04,98366.8,98900.6,-0.628,-61763.0,ok,-11.0,552.0,-347.0
ETHUSDT,15.759,51800.0,3286.984,3306.462,3358.42,3313.77,15.759,51800.0,ok,1126.0,307.0,422.0
ADAUSDT,24903.0,22751.0,0.914,0.896,0.823,1.041,24903.0,22751.0,ok,-2265.0,-428.0,3179.0
XRPUSDT,16059.0,22463.0,1.399,1.425,1.248,1.457,16059.0,22463.0,ok,-2427.0,426.0,929.0
TONUSDT,-3740.6,-20451.0,5.467,5.434,5.511,5.406,-3740.6,-20451.0,ok,-166.0,125.0,230.0
XLMUSDT,-45077.0,-13833.0,0.307,0.291,0.262,0.339,-45077.0,-13833.0,ok,2000.0,726.0,-1465.0
SOLUSDT,53.0,13486.0,254.459,255.173,256.59,256.26,53.0,13486.0,ok,113.0,38.0,95.0
AVAXUSDT,339.0,13091.0,38.619,38.245,35.873,41.529,339.0,13091.0,ok,-931.0,-127.0,986.0
TRXUSDT,-63507.0,-12601.0,0.198,0.199,0.199,0.204,-63507.0,-12601.0,ok,-20.0,-14.0,-349.0
HBARUSDT,-80998.0,-11145.0,0.138,0.13,0.127,0.149,-80998.0,-11145.0,ok,886.0,608.0,-962.0
UNIUSDT,895.0,8349.0,9.329,9.364,9.255,9.5,895.0,8349.0,ok,-66.0,31.0,153.0
APTUSDT,-605.2,-7170.0,11.848,11.859,12.077,12.247,-605.2,-7170.0,ok,-138.0,-7.0,-242.0
DOGEUSDT,17116.0,6750.0,0.394,0.4,0.387,0.417,17116.0,6750.0,ok,-126.0,93.0,389.0
1000SHIBUSDT,-183788.0,-4521.0,0.025,0.025,0.025,0.025,-183788.0,-4521.0,ok,-36.0,-44.0,-140.0
SUIUSDT,1061.7,3707.0,3.492,3.515,3.628,3.478,1061.7,3707.0,ok,145.0,25.0,-15.0
LINKUSDT,189.63,2951.0,15.561,15.003,14.909,15.778,189.63,2951.0,ok,-124.0,-106.0,41.0
NEARUSDT,352.0,1998.0,5.678,5.591,5.793,5.902,352.0,1998.0,ok,41.0,-31.0,79.0
LTCUSDT,19.332,1736.0,89.782,88.516,89.6,91.16,19.332,1736.0,ok,-4.0,-24.0,27.0
DOTUSDT,274.4,1704.0,6.209,6.1,5.939,6.438,274.4,1704.0,ok,-74.0,-30.0,63.0
BNBUSDT,-1.8,-1101.0,611.755,627.704,622.33,626.34,-1.8,-1101.0,ok,-19.0,-29.0,-26.0
1000PEPEUSDT,-46980.0,-952.0,0.02,0.02,0.021,0.02,-46980.0,-952.0,ok,-20.0,-4.0,2.0
BCHUSDT,2.005,916.0,457.264,492.963,484.72,489.09,2.005,916.0,ok,55.0,72.0,64.0
